199428,2,2
427621,2,2
221457,2,2
386521,1,2
122790,2,0
379583,2,2
340607,0,0
251111,2,2
599731,0,0
250519,0,2
596914,2,2
159551,1,2
689251,0,2
426293,0,2
135072,0,2
68575,0,2
500246,2,2
666751,2,1
136811,2,2
164275,2,2
414586,2,2
362499,2,2
233271,0,0
541784,0,2
167587,2,2
183549,0,2
548156,0,2
418004,0,2
673561,2,2
485130,0,2
299259,0,2
256356,2,0
343600,0,2
281036,2,0
536144,2,2
96704,2,2
132239,1,2
313842,0,2
347188,2,2
424302,0,2
158204,0,2
206728,0,2
675894,0,2
218751,2,2
22503,2,2
679685,0,2
558029,1,1
72638,1,2
337078,0,2
633638,2,2
30895,2,2
386226,2,0
504745,0,2
307371,2,1
455843,1,2
382998,0,0
102170,0,2
294287,0,0
343946,0,0
686732,2,2
412722,2,1
63436,0,0
26223,2,2
69715,0,2
243573,0,0
71663,2,2
459127,1,2
370367,2,1
212876,2,2
566925,2,2
146739,2,2
458235,2,2
328105,0,2
565349,2,2
269733,2,2
61643,2,2
443922,2,2
478273,2,2
197731,2,2
404622,2,2
244983,2,1
265707,2,2
288962,2,2
41013,2,0
460449,2,3
470131,0,2
277013,0,2
657441,2,2
616534,0,2
512542,0,1
374749,2,2
302658,2,2
384135,1,1
651588,2,2
390199,2,0
275428,2,0
610760,0,2
561085,2,2
671968,0,2
486035,2,2
