199428,2
427621,2
221457,3
386521,1
122790,3
379583,3
340607,0
251111,2
599731,0
250519,0
596914,2
159551,1
689251,0
426293,0
135072,0
68575,0
500246,2
666751,3
136811,2
164275,2
414586,2
362499,3
233271,0
541784,0
167587,3
183549,0
548156,0
418004,0
673561,3
485130,0
299259,0
256356,3
343600,0
281036,3
536144,2
96704,2
132239,1
313842,0
347188,2
424302,0
158204,0
206728,0
675894,0
218751,2
22503,2
679685,0
558029,1
72638,1
337078,0
633638,2
30895,2
386226,2
504745,0
307371,2
455843,1
382998,0
102170,0
294287,0
343946,0
686732,2
412722,3
63436,0
26223,3
69715,0
243573,0
71663,3
459127,1
370367,3
212876,3
566925,2
146739,2
458235,2
328105,0
565349,2
269733,3
61643,2
443922,2
478273,3
197731,2
404622,2
244983,3
265707,2
288962,2
41013,3
460449,3
470131,0
277013,0
657441,3
616534,0
512542,0
374749,3
302658,2
384135,1
651588,2
390199,3
275428,3
610760,0
561085,2
671968,0
486035,2
